Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]
1130	-215.9864	-159.9459	-56.04056	0.538275	0.199948	1.75914	0.300483	0.00870561	0.0130558	0.114223	0.0893492	1.00835	0.690288	0.220554
1140	-212.1545	-155.5739	-56.58058	0.572131	0.258822	1.48959	0.253615	0.0149979	0.0583417	0.127485	0.0835543	1.12148	0.677769	0.051837
1150	-212.266	-160.1809	-52.08514	0.469142	0.310002	1.60454	0.116711	0.0909829	0.114373	0.126938	0.067986	0.828142	0.583523	0.0700841
1160	-208.0709	-155.2043	-52.86657	0.919717	0.312954	1.5723	0.130971	0.13016	0.0404809	0.144081	0.114121	1.09309	0.356651	0.0894995
1170	-213.6401	-157.0797	-56.56042	0.738181	0.210849	1.43292	0.0740864	0.102219	0.0557241	0.110212	0.20691	0.597212	0.3738	0.0217088
1180	-216.0685	-156.0406	-60.02791	0.670979	0.404583	1.70948	0.0595485	0.152091	0.00917254	0.0626061	0.153947	1.07973	0.308756	0.0103714
1190	-207.1238	-157.9079	-49.21594	0.640623	0.772523	1.67729	0.115432	0.0622666	0.0613434	0.0499731	0.101102	0.387751	0.217337	0.0184434
1200	-211.3241	-157.7281	-53.59602	0.639202	0.651562	1.96834	0.129879	0.0628251	0.0311615	0.0256566	0.0437275	1.48237	0.268829	0.0181608
1210	-212.6115	-157.5336	-55.07792	0.704098	0.539339	2.10227	0.139191	0.106538	0.0607548	0.0222873	0.0174665	1.40415	0.311447	0.0226338
1220	-212.0582	-157.7639	-54.29425	0.459709	0.302183	2.08901	0.182519	0.103432	0.0374231	0.00870551	0.0124927	1.26019	0.48616	0.0195008
1230	-216.91	-164.3399	-52.57009	0.422388	0.101802	2.30202	0.334428	0.243006	0.117218	0.00552057	0.01721	1.87881	0.149059	0.0282875
1240	-220.2423	-161.3549	-58.88748	0.372778	0.274634	2.45228	0.206958	0.0794392	0.0775886	0.00307834	0.00867071	1.74073	0.0669813	0.181529
1250	-214.875	-160.5818	-54.29324	0.61935	0.0819445	2.35086	0.123418	0.051174	0.00409367	0.0101091	0.00454278	0.328567	0.19596	0.0648438
1260	-220.1333	-160.7576	-59.37577	0.38275	0.157571	2.61205	0.144518	0.101103	0.0431939	0.00551842	0.00363494	0.347206	0.0709931	0.026027
1270	-212.3166	-155.7143	-56.60232	0.353407	0.395554	2.75043	0.0395666	0.0358908	0.363688	0.00423054	0.00489519	1.07657	0.0893586	0.0288479
1280	-219.6355	-155.6822	-63.95334	0.480471	0.368332	2.81955	0.050291	0.0453229	0.441602	0.00349008	0.00690293	0.585593	0.205897	0.0243277
1290	-223.4544	-162.6428	-60.81157	0.672957	0.320997	2.9242	0.084514	0.0128464	0.187388	0.00502266	0.00415711	1.49951	0.462754	0.0086198
1300	-222.3006	-161.6072	-60.69339	0.449318	0.642915	2.52295	0.0956198	0.0155555	0.227072	0.0097689	0.00453978	0.707349	0.356607	0.0210517
1310	-215.1898	-159.0708	-56.119	0.199989	0.621991	2.27865	0.0565239	0.0561111	0.255384	0.00308916	0.00881356	0.32574	0.380368	0.040577
1320	-215.2365	-160.0746	-55.16185	0.363345	0.774519	2.33421	0.00852933	0.0239689	0.246474	0.00613916	0.0077422	0.557081	1.25032	0.0109803
1330	-213.9219	-158.6204	-55.30147	0.560608	0.763769	2.3655	0.0115553	0.0135519	0.292663	0.0102547	0.00537576	0.964578	0.538234	0.0139214
1340	-216.4588	-163.3985	-53.06027	0.731802	0.950045	2.27197	0.029188	0.0352672	0.266786	0.00910296	0.00197379	0.694953	0.524794	0.0315256
1350	-216.3759	-161.6258	-54.75002	0.801249	0.886634	2.17247	0.0282406	0.00488004	0.0930099	0.0108418	0.00100217	0.547454	0.482322	0.0839388
1360	-216.3377	-161.6533	-54.68441	0.718481	0.734988	1.98107	0.00768762	0.00199614	0.119455	0.00736236	0.00106075	0.489074	0.350709	0.0422798
1370	-217.0241	-161.6888	-55.33536	0.584125	0.912552	1.84909	0.00447063	0.00464553	0.0114463	0.00266752	0.000969648	0.319923	0.13091	0.0143611
1380	-222.8229	-162.7692	-60.05368	0.730289	0.950647	1.87673	0.00480944	0.0027367	0.00372942	0.00329106	0.000511082	0.820939	0.140068	0.00791163
1390	-221.1431	-166.9492	-54.19394	0.73716	1.00557	2.05145	0.00430401	0.00761947	0.00128789	0.00539055	0.000910752	1.1291	0.0382949	0.00844328
1400	-218.0994	-159.9956	-58.10383	0.721471	1.01457	2.01166	0.0170872	0.00887795	0.00272387	0.00200132	0.000995653	1.39535	0.0254351	0.00591963
1410	-219.5802	-164.4076	-55.17264	0.726721	0.835151	1.83118	0.0988973	0.00863642	0.000649153	0.000799939	0.00072602	0.516189	0.0343096	0.00623974
1420	-218.8155	-163.1035	-55.71196	0.75219	0.902171	1.82227	0.206797	0.0137089	0.00056471	0.000864075	0.00118405	1.16569	0.026987	0.0257812
1430	-215.2186	-158.8467	-56.3719	0.619416	1.02308	1.89247	0.0357003	0.00128233	0.000365333	0.00388331	0.00128542	1.16063	0.0985062	0.00829671
1440	-216.317	-160.1364	-56.18057	0.524941	1.22641	2.0679	0.00741184	0.00248204	0.00056291	0.00278472	0.00202585	0.647397	0.0229189	0.00592989
1450	-215.7256	-161.2042	-54.52136	0.771603	1.23813	2.05803	0.0187506	0.00380695	0.00273862	0.00323398	0.00830486	0.461195	0.0187267	0.00129637
1460	-217.0135	-163.9334	-53.08004	0.718266	1.24822	2.14458	0.0345816	0.000729318	0.00317813	0.0193534	0.00677028	0.547531	0.0259679	0.00144933
1470	-221.8399	-173.0138	-48.82611	0.565709	1.31036	2.14423	0.012189	0.00657526	0.00184111	0.0108868	0.0110873	0.0716383	0.0374805	0.0010127
1480	-217.2542	-163.4735	-53.78076	0.440687	1.1082	2.01201	0.00571967	0.000512712	0.00146334	0.0176314	0.0105591	0.0233395	0.0427522	0.00042563
1490	-219.6429	-164.3167	-55.32619	0.425235	1.15774	2.06546	0.010196	0.00174881	0.00256408	0.0264558	0.0102849	0.0105895	0.0325204	0.000444966
1500	-223.8453	-167.9656	-55.87963	0.602453	1.11338	1.99614	0.00957446	0.000898607	0.00499379	0.0424428	0.00492246	0.168732	0.0235742	0.000157335
1510	-221.6976	-166.8251	-54.8725	0.497493	1.12851	2.0747	0.0180886	0.000621316	0.00422985	0.031147	0.0223944	0.0973671	0.00968668	0.000190298
1520	-225.9044	-165.9315	-59.97283	0.465831	1.11872	2.17376	0.0688505	0.000433821	0.00180481	0.0151623	0.0242645	0.276636	0.000731986	0.000123864
1530	-224.5995	-163.8507	-60.74882	0.360898	1.29106	2.08868	0.0626431	0.000547528	0.00132542	0.0136462	0.0402282	0.463578	0.000656262	2.57609e-05
1540	-227.534	-170.6643	-56.86969	0.342929	1.37067	1.88724	0.0320274	0.00326072	0.00300663	0.0161848	0.012433	0.724445	0.00224886	1.10464e-05
1550	-219.399	-163.0013	-56.39771	0.410967	1.13756	1.80791	0.0276341	0.00335845	0.00752759	0.00440609	0.00680777	0.149401	0.00095527	5.0714e-05
1560	-221.6751	-165.7009	-55.97422	0.571699	1.29317	1.91786	0.0122267	0.00557674	0.0397474	0.0360655	0.00690823	0.0684765	0.00164563	8.10885e-05
1570	-218.0213	-164.605	-53.41631	0.466952	1.39295	1.98979	0.0384622	0.00500467	0.0505626	0.0499423	0.00930372	0.0661959	0.000557511	0.000290607
1580	-222.0566	-171.899	-50.15765	0.53696	1.4253	2.0438	0.0461248	0.0021179	0.0198744	0.0348985	0.0121746	0.032053	0.00112942	0.000705777
1590	-218.7389	-165.7662	-52.97267	0.631546	1.47779	2.16347	0.166592	0.0033091	0.0183449	0.0301202	0.0122179	0.0328168	0.000274095	0.000188001
1600	-224.6907	-163.0053	-61.68544	0.525453	1.43977	2.00904	0.0693992	0.00530281	0.0652467	0.0399946	0.0155388	0.332314	0.000622741	0.000616438
1610	-219.4688	-163.9288	-55.54	0.455123	1.4213	1.9026	0.0407431	0.00770889	0.0305894	0.0131216	0.0366032	0.192909	0.00175677	0.000222947
1620	-215.5851	-164.6293	-50.95578	0.630943	1.35146	2.00953	0.105701	0.0188684	0.151467	0.0206877	0.0233099	0.0417707	0.000855247	0.000141665
1630	-218.5663	-163.4392	-55.12706	0.501071	1.39681	2.11745	0.163819	0.00838093	0.236439	0.032274	0.0291835	0.0653105	0.000496447	0.000233414
1640	-218.0215	-162.9279	-55.0936	0.489068	1.66943	2.47784	0.124664	0.0154495	0.124463	0.0480395	0.0360194	0.0124976	0.000654249	0.000267165
1650	-218.0111	-161.4388	-56.57231	0.54073	1.61377	2.44882	0.0632467	0.0237403	0.0663326	0.0954666	0.0314776	0.014215	0.000944656	0.000380718
1660	-211.5445	-162.9131	-48.63139	0.468146	1.67631	2.41531	0.0783901	0.0277013	0.0523647	0.113044	0.0730926	0.00977304	0.00272697	0.000921334
1670	-212.5662	-161.5353	-51.03084	0.423328	1.58067	2.2913	0.154253	0.0254329	0.0607641	0.230281	0.084516	0.0140162	0.00406245	0.000753656
1680	-212.3161	-163.3036	-49.01246	0.375051	1.56568	2.26922	0.298008	0.0563313	0.0629245	0.164365	0.142948	0.016666	0.0148765	0.000545163
1690	-220.1353	-166.5961	-53.53917	0.234901	1.50231	2.33277	0.231611	0.0467712	0.0263131	0.106285	0.161029	0.234567	0.00460335	0.000231467
1700	-211.2738	-160.7992	-50.47454	0.243853	1.85578	2.39043	0.113602	0.062152	0.0774657	0.269184	0.118087	0.647839	0.00859822	0.000456413
1710	-220.7059	-164.6919	-56.01395	0.382651	1.93918	2.54357	0.103724	0.107898	0.102614	0.328888	0.19165	0.590068	0.00470987	0.000484347
1720	-220.5736	-161.5799	-58.99363	0.158895	2.01154	2.70857	0.0383167	0.140907	0.208448	0.438641	0.303074	0.641127	0.00942605	0.00014439
1730	-219.135	-159.3606	-59.77443	0.16164	2.25363	2.68161	0.0183528	0.0977293	0.387741	0.372063	0.231965	0.603178	0.00604182	0.000201541
1740	-217.4113	-162.3676	-55.04366	0.32629	2.26781	2.69671	0.0818448	0.0276721	0.446735	0.195882	0.193929	0.110888	0.0155059	0.000138079
