Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]
920	-199.1775	-157.9008	-41.27668	0.495288	0.00789229	0.0188529	0.187788	0.149373	0.710253	0.557372	0.143213	1.93145	4.54465	0.167301
930	-203.9843	-158.0134	-45.97096	0.450641	0.014746	0.0114448	0.20612	0.192394	0.585577	0.494056	0.100215	1.8628	4.71137	0.00423418
940	-202.3215	-158.7509	-43.57068	0.260547	0.00759077	0.149477	0.121297	0.0595003	0.443283	0.593406	0.231937	1.52514	3.12514	0.12877
950	-201.7184	-161.063	-40.65535	0.364152	0.131153	0.0110815	0.0231303	0.017133	0.338795	0.650083	0.202671	0.434852	1.31202	0.182506
960	-199.5595	-157.4173	-42.14224	0.539514	0.0168826	0.181234	0.035818	0.0281206	0.527699	1.05317	0.168591	1.0536	1.70669	0.292858
970	-198.007	-159.9259	-38.08108	0.30107	0.20777	0.027533	0.0447651	0.169443	0.626927	0.626965	0.167296	0.588486	1.87545	0.237482
980	-213.4312	-168.5408	-44.89042	0.523603	0.233712	0.0467879	0.00632709	0.0652729	0.474402	0.490605	0.445889	0.499239	0.953913	0.0308371
990	-195.2647	-160.9994	-34.26532	0.7119	0.17435	0.00819041	0.037107	0.0488726	0.413954	0.441375	0.181335	0.638028	0.390931	0.123355
1000	-196.8159	-161.4009	-35.41503	0.898895	0.191864	0.0438553	0.0850591	0.119605	0.381482	0.414127	0.161873	0.722733	0.468664	0.350946
1010	-197.0143	-163.1662	-33.84806	0.832241	0.084333	0.0177249	0.149881	0.109081	0.494965	0.45926	0.24867	0.730041	0.762087	0.269638
1020	-193.6254	-160.7593	-32.86618	0.923923	0.0489963	0.0400171	0.0365816	0.0766866	0.422138	0.765622	0.419358	0.583534	0.830453	0.188227
1030	-195.8566	-160.2575	-35.59915	1.0281	0.118694	0.0310067	0.0313871	0.225536	0.462619	0.682769	0.342119	1.50238	0.717828	0.149792
1040	-191.0909	-156.374	-34.71689	1.19345	0.0987734	0.0183713	0.0221681	0.0308115	0.231055	0.606178	0.522411	1.6055	1.39238	0.244103
1050	-199.0471	-159.1917	-39.85536	1.40259	0.0211301	0.0456121	0.00903067	0.0227377	0.158279	0.619545	0.353098	1.96246	1.97334	0.128795
1060	-197.9285	-163.1959	-34.7326	1.26589	0.147539	0.0160916	0.0144952	0.00886106	0.149175	0.40437	0.352563	1.32595	1.49359	0.351072
1070	-189.2639	-164.6659	-24.59802	0.892105	0.174974	0.0854598	0.0817249	0.115403	0.126512	0.190952	0.140038	0.430955	1.03958	0.465678
1080	-186.9823	-162.7567	-24.22565	1.08339	0.314164	0.109447	0.0381229	0.0720324	0.314978	0.242543	0.111438	0.668485	1.20341	0.284847
1090	-193.697	-163.47	-30.22696	1.02133	0.243069	0.05402	0.0235988	0.0727839	0.442902	0.301001	0.335576	0.948638	0.889099	0.214104
1100	-197.1473	-163.0833	-34.06399	0.963263	0.29076	0.0434836	0.150128	0.195589	0.294977	0.44371	0.317629	0.913896	0.78724	0.147358
1110	-194.8029	-169.143	-25.6599	0.814378	0.162006	0.0798736	0.0471	0.148582	0.207922	0.255117	0.247031	0.834181	0.532525	0.361795
1120	-196.5411	-163.9545	-32.58655	1.05725	0.145401	0.0210701	0.0158444	0.139895	0.155943	0.339559	0.0904319	0.429265	0.688032	0.116474
1130	-195.8701	-165.3098	-30.5603	1.25511	0.102389	0.0506893	0.0279309	0.00945344	0.120577	0.193308	0.0826525	0.52082	1.19393	0.283814
1140	-198.6112	-169.8204	-28.79081	0.883523	0.141295	0.0340658	0.0112734	0.15314	0.118045	0.183847	0.115506	0.44803	0.642408	0.2123
1150	-199.3616	-164.5836	-34.77806	0.935427	0.140207	0.0629266	0.142191	0.055163	0.0393726	0.0838482	0.139841	0.97892	0.974689	0.242998
1160	-202.2568	-160.8655	-41.3913	0.953377	0.186062	0.0118927	0.0793997	0.037804	0.0554557	0.0416796	0.0558098	0.724995	0.797226	0.169287
1170	-205.8156	-165.2471	-40.56856	1.15003	0.0712554	0.0586983	0.0499754	0.0600503	0.0197539	0.0314193	0.126171	0.712494	0.330313	0.168324
1180	-214.3289	-169.0005	-45.32833	0.975542	0.252489	0.00880756	0.0433218	0.0356486	0.0913322	0.0370496	0.123253	1.12145	0.133168	0.113929
1190	-205.2115	-161.8612	-43.3503	0.908987	0.114161	0.105941	0.0349013	0.0878491	0.129141	0.042196	0.0132638	0.932826	0.124581	0.0420318
1200	-206.9159	-160.1007	-46.81521	0.934423	0.149245	0.205065	0.103393	0.0423564	0.132573	0.062082	0.0649958	1.02621	0.0314065	0.111002
1210	-215.7296	-167.079	-48.65063	1.04585	0.20596	0.0305948	0.399425	0.0296267	0.197778	0.049203	0.133522	0.0818494	0.00933279	0.0626501
1220	-208.6159	-170.5489	-38.06702	1.05426	0.252471	0.115311	0.379989	0.0261091	0.0581409	0.0269102	0.0123548	0.0116555	0.00578436	0.0359356
1230	-205.5463	-168.2717	-37.2746	0.737132	0.372865	0.0856945	0.04789	0.0661928	0.0654064	0.018278	0.00578482	0.00256378	0.00430853	0.00609661
1240	-208.9252	-168.1683	-40.75683	0.711687	0.498905	0.0905946	0.023803	0.0166613	0.0510977	0.0147364	0.0104827	0.00219647	0.00737672	0.0149188
1250	-209.2939	-169.3269	-39.96697	0.89716	0.588282	0.0271385	0.00627187	0.0196516	0.0412614	0.0127788	0.0063876	0.00362961	0.00725141	0.00653191
1260	-208.9678	-165.7436	-43.22423	0.914279	0.458593	0.0852349	0.0526618	0.0381267	0.0118318	0.011154	0.00409072	0.00611764	0.00203623	0.000439554
1270	-213.9572	-166.4133	-47.54394	0.648136	0.400092	0.00901286	0.0126434	0.0428818	0.0168958	0.00905557	0.026323	0.00832505	0.000797549	0.000621638
1280	-208.3487	-166.2314	-42.11729	0.542952	0.546261	0.0559745	0.112131	0.0493516	0.0230238	0.0101404	0.00716154	0.0203873	0.00305328	0.00118911
1290	-210.5171	-166.9266	-43.59051	0.407559	0.504802	0.160598	0.0107621	0.0192994	0.0165273	0.0150877	0.013701	0.00644494	0.0110893	0.000978242
1300	-205.7687	-167.4325	-38.33621	0.419203	0.475559	0.114265	0.0613384	0.0491067	0.00732115	0.0157149	0.00402076	0.0085009	0.00946506	0.00903269
1310	-201.8444	-166.475	-35.3694	0.344837	0.440925	0.176434	0.064893	0.0905816	0.0405759	0.0187699	0.00578699	0.00690973	0.012193	0.0199708
1320	-209.1189	-168.7722	-40.34664	0.500679	0.496836	0.0798149	0.0986676	0.0465188	0.0237232	0.0384192	0.01646	0.040888	0.0122523	0.00831329
1330	-208.5138	-168.8362	-39.67762	0.274934	0.137276	0.0953113	0.0493549	0.0144555	0.0389891	0.0433509	0.0177825	0.0351251	0.00540182	0.00745371
1340	-209.0193	-170.9776	-38.0417	0.0898479	0.125149	0.0614597	0.0370702	0.0428105	0.0308229	0.0502886	0.0162038	0.0697667	0.0345824	0.0126652
1350	-205.7265	-167.4972	-38.22931	0.0485384	0.0881408	0.0794616	0.113952	0.0933142	0.0229402	0.0529568	0.0306202	0.0660419	0.0188558	0.0237637
1360	-216.8151	-169.2984	-47.51669	0.0284109	0.0164589	0.0220812	0.0577622	0.305131	0.00475214	0.163446	0.0531335	0.0913754	0.0171069	0.00500008
1370	-217.929	-168.4095	-49.51947	0.063255	0.0102324	0.107902	0.107972	0.324868	0.0128677	0.134851	0.0151533	0.0353266	0.0150293	0.00333606
1380	-220.3553	-165.7135	-54.6418	0.01058	0.0119047	0.0471727	0.0978005	0.359339	0.0284269	0.349929	0.111425	0.593758	0.0148933	0.00129193
1390	-219.7687	-161.7469	-58.02181	0.0101486	0.0705378	0.185754	0.128344	0.0238993	0.0739732	0.70866	0.08764	0.854463	0.0124744	0.00040552
1400	-212.2069	-165.7275	-46.47941	0.00580692	0.0879709	0.0814388	0.214878	0.177713	0.0815825	0.446261	0.131897	0.128862	0.0166298	0.0105242
1410	-209.3586	-163.5623	-45.79621	0.071682	0.0374484	0.0220492	0.0200134	0.0113533	0.0411382	0.600993	0.0844623	0.137798	0.0242267	0.00304314
1420	-214.7388	-163.4459	-51.29289	0.0171295	0.077539	0.00223098	0.0848373	0.0162195	0.119813	0.513532	0.107627	0.186675	0.0112004	0.0251512
1430	-223.1151	-165.2632	-57.85195	0.00083121	0.220418	0.0123773	0.000762683	0.0124897	0.0831792	0.738731	0.0422846	0.284989	0.00541576	0.00209085
1440	-215.6419	-163.5525	-52.08935	0.00845332	0.105645	0.0413216	0.0522554	0.0276026	0.128242	0.548728	0.0549559	0.738889	0.00898987	0.0333898
1450	-209.5957	-163.2272	-46.36851	0.0100912	0.0522172	0.0213664	0.0406499	0.134223	0.225355	0.331419	0.0466005	0.377384	0.0392348	0.0124894
1460	-205.6953	-165.3246	-40.37068	0.027882	0.0198588	0.0124365	0.0247975	0.079758	0.21645	0.27008	0.140316	0.275542	0.0804017	0.0428808
1470	-207.2355	-165.8597	-41.37582	0.0370916	0.0612136	0.0632979	0.0652594	0.0420357	0.118062	0.117011	0.0583534	0.127212	0.017226	0.0145687
1480	-215.386	-165.7323	-49.65368	0.0326528	0.00963561	0.0746337	0.0595635	0.03538	0.0566154	0.212034	0.0553186	0.187327	0.00384975	0.00949938
1490	-208.8324	-167.5567	-41.27565	0.013636	0.00631466	0.0169499	0.108147	0.0704702	0.217947	0.113417	0.0377021	0.0176074	0.0299149	0.016292
1500	-212.5061	-167.7312	-44.7749	0.000560624	0.00414052	0.000595016	0.328917	0.0864191	0.101381	0.0880276	0.039341	0.0833361	0.0300552	0.0588712
1510	-213.5125	-169.3857	-44.1268	0.00038182	0.00555034	0.0208795	0.344225	0.107782	0.070303	0.131965	0.0115914	0.0174753	0.0273749	0.11046
1520	-211.5036	-163.8889	-47.61465	0.00140262	0.0218475	0.0780269	0.322691	0.0296093	0.165799	0.306055	0.0296563	0.046558	0.00971864	0.0145659
1530	-209.7763	-167.967	-41.80933	0.015144	0.0646679	0.25813	0.211668	0.0884872	0.0832021	0.145834	0.0249376	0.0717791	0.0204578	0.00623387
1540	-203.6156	-162.2205	-41.3951	0.212832	0.212859	0.356493	0.144481	0.186964	0.516206	0.193088	0.081712	0.0209041	0.0156192	0.00261612
1550	-205.3248	-162.7075	-42.61723	0.0685103	0.324449	0.421743	0.215062	0.152489	0.441487	0.26339	0.151265	0.128636	0.0249992	0.043198
1560	-200.62	-163.5069	-37.1131	0.216505	0.419378	0.359054	0.327706	0.198	0.344303	0.250804	0.210845	0.189282	0.131549	0.0213932
1570	-192.7349	-165.077	-27.65785	0.199806	0.270185	0.272618	0.43885	0.211251	0.229315	0.144983	0.154937	0.132396	0.11133	0.108038
1580	-204.0695	-163.5118	-40.55774	0.114206	0.207051	0.344326	0.323226	0.0921609	0.0849649	0.123697	0.13555	0.487909	0.0869827	0.0443357
1590	-189.0731	-165.0033	-24.06975	0.200138	0.220664	0.230499	0.186228	0.202131	0.169447	0.168301	0.13182	0.135161	0.10845	0.0806677
1600	-198.7219	-162.8635	-35.85843	0.146191	0.226241	0.347733	0.213381	0.180413	0.174654	0.194613	0.107532	0.0933242	0.0666349	0.0521616
1610	-200.0729	-164.0509	-36.02204	0.479379	0.358372	0.331991	0.163284	0.147099	0.150015	0.139266	0.0787098	0.0739775	0.116682	0.0851075
1620	-194.76	-163.0148	-31.74522	0.491451	0.276647	0.306379	0.206395	0.138977	0.122824	0.0851445	0.0900546	0.109362	0.135665	0.113561
1630	-193.3564	-167.8234	-25.53302	0.337956	0.268382	0.293365	0.27028	0.263279	0.12903	0.0893037	0.104756	0.162837	0.105373	0.134017
1640	-187.8372	-163.5985	-24.23868	0.272079	0.282874	0.247099	0.241133	0.33897	0.186035	0.186991	0.169401	0.133503	0.117669	0.0882478
1650	-196.0203	-167.2979	-28.72241	0.361799	0.26734	0.360902	0.265127	0.324998	0.240375	0.237275	0.118157	0.13994	0.15977	0.155187
1660	-191.7258	-164.6761	-27.04976	0.35395	0.334499	0.281949	0.318951	0.309971	0.296174	0.276919	0.189352	0.139777	0.106739	0.0884355
1670	-190.6658	-168.6355	-22.03033	0.36053	0.359727	0.415605	0.301825	0.289593	0.283552	0.258718	0.215354	0.17049	0.149808	0.160031
1680	-192.5191	-163.8217	-28.69733	0.254254	0.373385	0.47454	0.329941	0.24348	0.310651	0.303787	0.177835	0.157046	0.14676	0.0474801
1690	-193.1557	-167.7309	-25.42485	0.335106	0.341129	0.280754	0.329135	0.38307	0.308272	0.318863	0.314576	0.227352	0.131903	0.0993928
1700	-187.6021	-165.1543	-22.44776	0.337588	0.289157	0.338434	0.290365	0.381921	0.380217	0.350922	0.327767	0.271585	0.215458	0.160802
