Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]	extinction_sd	log_extinction[1]	log_extinction[2]	log_extinction[3]	log_extinction[4]	log_extinction[5]	log_extinction[6]	log_extinction[7]	log_extinction[8]	log_extinction[9]	log_extinction[10]	log_extinction[11]	log_speciation[1]	log_speciation[2]	log_speciation[3]	log_speciation[4]	log_speciation[5]	log_speciation[6]	log_speciation[7]	log_speciation[8]	log_speciation[9]	log_speciation[10]	log_speciation[11]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation[5]	speciation[6]	speciation[7]	speciation[8]	speciation[9]	speciation[10]	speciation[11]	speciation_sd
300	-203.3762	-166.3279	-37.04836	0.195759	0.170434	0.060771	0.11708	0.0447288	0.0361598	0.102215	0.0915623	0.326506	0.219757	0.158959	0.7691752	-1.63087	-1.76941	-2.80064	-2.1449	-3.10714	-3.31981	-2.28068	-2.39074	-1.11931	-1.51523	-1.83911	-5.2027	-5.08705	-4.39214	-4.90184	-1.83987	-2.05135	-1.85876	-0.944137	-0.64686	-2.9799	-2.2404	0.00550166	0.00617621	0.0123742	0.00743292	0.158838	0.128561	0.155866	0.389015	0.523688	0.0507978	0.106416	0.9502753
310	-208.1352	-169.5488	-38.58635	0.0324333	0.133114	0.154667	0.0454639	0.0283863	0.112939	0.23577	0.203241	0.421762	0.436652	0.3005	0.8696091	-3.42857	-2.01655	-1.86648	-3.09084	-3.56185	-2.18091	-1.4449	-1.59336	-0.863315	-0.828619	-1.20231	-6.82686	-6.44335	-6.20933	-5.60733	-2.64344	-3.98604	-1.96711	-0.225498	-0.789968	-2.36116	-2.32003	0.00108426	0.00159107	0.00201059	0.00367086	0.071116	0.0185732	0.13986	0.798119	0.453859	0.0943106	0.0982709	1.264553
320	-201.0742	-166.0191	-35.05505	0.0221481	0.0618027	0.0319989	0.033148	0.135359	0.250726	0.0911072	0.0476873	0.39242	0.32586	0.208989	1.086072	-3.81	-2.78381	-3.44205	-3.40677	-1.99983	-1.3834	-2.39572	-3.04309	-0.935423	-1.12129	-1.56547	-5.42998	-5.18333	-4.82316	-4.46701	-3.20566	-2.91428	-1.61959	-0.810673	-0.762515	-2.06686	-1.01838	0.0043832	0.00560927	0.00804137	0.0114816	0.0405321	0.0542432	0.197979	0.444559	0.466492	0.126583	0.361179	0.677271
330	-203.5297	-162.3515	-41.17817	0.115855	0.0862831	0.0142142	0.0400832	0.122947	0.249635	0.285578	0.0937637	0.573095	0.485997	0.284605	1.41928	-2.15542	-2.45012	-4.25351	-3.2168	-2.096	-1.38775	-1.25324	-2.36698	-0.556703	-0.721552	-1.25665	-8.99181	-8.77996	-6.65317	-5.69784	-3.3073	-2.11006	-1.38103	-0.356996	-0.92827	-2.00598	-0.86825	0.000124425	0.000153784	0.00128992	0.0033532	0.0366147	0.121231	0.251319	0.699775	0.395237	0.134528	0.419685	1.425534
340	-200.9502	-170.344	-30.60618	0.0563098	0.0394525	0.0469982	0.0728659	0.0611876	0.135405	0.254116	0.276637	0.16956	0.296276	0.214822	0.4136276	-2.87689	-3.23266	-3.05765	-2.61913	-2.79381	-1.99949	-1.36996	-1.28505	-1.77455	-1.21646	-1.53794	-6.13897	-6.64517	-5.44221	-3.74334	-3.59054	-2.70957	-1.2309	-0.489894	-0.968028	-1.89469	-1.37976	0.00215715	0.00130029	0.00432993	0.023675	0.0275834	0.0665653	0.292029	0.612691	0.379831	0.150365	0.251638	1.691527
350	-189.4653	-165.2538	-24.21155	0.0675119	0.0662415	0.0681833	0.0716763	0.0851562	0.102438	0.112199	0.127365	0.175173	0.132643	0.128651	0.1856896	-2.69545	-2.71445	-2.68556	-2.63559	-2.46327	-2.27849	-2.18749	-2.0607	-1.74198	-2.02009	-2.05065	-8.52293	-9.1463	-7.27353	-6.48431	-3.36784	-3.18464	-1.94172	-0.645264	-1.13653	-3.58426	-1.86724	0.000198855	0.000106614	0.000693656	0.00152721	0.0344641	0.041393	0.143458	0.524524	0.320929	0.0277572	0.15455	2.102972
360	-215.9839	-169.772	-46.2119	0.0389365	0.0898083	0.00437939	0.00595511	0.0528895	0.0366117	0.128267	0.061748	0.0374987	0.0406799	0.0081171	1.816126	-3.24582	-2.41008	-5.43085	-5.12351	-2.93955	-3.30739	-2.05364	-2.78469	-3.28345	-3.20202	-4.81378	-6.6843	-5.04574	-5.98505	-5.53669	-4.82745	-4.00264	-2.32117	-1.19183	-1.03999	-4.54632	-4.06935	0.00125039	0.00643672	0.00251609	0.00393953	0.00800694	0.0182673	0.0981582	0.303665	0.353459	0.0106062	0.0170885	1.08725
370	-198.6876	-169.5129	-29.17477	0.0642633	0.107811	0.122222	0.10476	0.0845287	0.0689287	0.113926	0.0987788	0.0882275	0.0760347	0.082788	0.2872096	-2.74477	-2.22738	-2.10192	-2.25609	-2.47066	-2.67468	-2.17221	-2.31487	-2.42784	-2.57657	-2.49147	-9.70046	-6.84022	-5.34494	-3.75576	-2.66581	-4.11527	-1.69694	-0.43685	-0.902855	-3.51832	-2.49512	6.12552e-05	0.00106987	0.00477224	0.0233826	0.0695428	0.0163216	0.183244	0.646068	0.405411	0.0296492	0.0824862	1.881836
380	-207.0271	-167.607	-39.42017	0.02585	0.0665971	0.0689591	0.0911161	0.110837	0.165691	0.178011	0.130033	0.0878041	0.108193	0.0607519	0.5303409	-3.65545	-2.70909	-2.67424	-2.39562	-2.1997	-1.79763	-1.72591	-2.03997	-2.43265	-2.22384	-2.80096	-6.6505	-6.08099	-7.79874	-6.96002	-3.69854	-1.99509	-2.63856	-0.405279	-1.53891	-6.00198	-2.48021	0.00129338	0.0022859	0.000410252	0.000949079	0.0247598	0.136001	0.0714643	0.666791	0.214615	0.00247384	0.0837254	3.222564
390	-183.3248	-167.286	-16.03872	0.0767306	0.0664528	0.0721028	0.0791534	0.0745386	0.0792769	0.0723114	0.0673018	0.0663216	0.0694322	0.0791203	0.07756552	-2.56745	-2.71126	-2.62966	-2.53637	-2.59644	-2.53481	-2.62677	-2.69857	-2.71324	-2.6674	-2.53679	-8.07426	-6.27441	-4.62976	-4.12634	-2.57476	-3.24336	-2.68895	-0.736258	-1.72129	-4.08562	-2.46868	0.000311453	0.00188391	0.00975711	0.0161418	0.0761724	0.0390327	0.0679523	0.478903	0.178835	0.0168128	0.0846967	1.669978
