Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]	extinction_sd	log_extinction[1]	log_extinction[2]	log_extinction[3]	log_extinction[4]	log_extinction[5]	log_extinction[6]	log_extinction[7]	log_extinction[8]	log_extinction[9]	log_extinction[10]	log_extinction[11]	log_speciation[1]	log_speciation[2]	log_speciation[3]	log_speciation[4]	log_speciation[5]	log_speciation[6]	log_speciation[7]	log_speciation[8]	log_speciation[9]	log_speciation[10]	log_speciation[11]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation[5]	speciation[6]	speciation[7]	speciation[8]	speciation[9]	speciation[10]	speciation[11]	speciation_sd
300	-204.7896	-158.6302	-46.15942	0.00302303	0.00340229	0.00585539	0.028156	0.0393385	0.214378	0.348403	0.0904437	1.63887	0.664513	0.277564	1.509932	-5.8015	-5.68331	-5.14039	-3.57	-3.23555	-1.54002	-1.05439	-2.40303	0.494007	-0.408702	-1.2817	-7.62116	-9.43786	-9.06606	-7.2879	-4.0864	-4.23762	-1.71111	-0.475347	0.29038	-1.5764	-0.427282	0.000489971	7.96504e-05	0.00011552	0.000683763	0.0167996	0.0144419	0.180666	0.621669	1.33694	0.206719	0.65228	1.735829
310	-217.6862	-166.8016	-50.88467	0.000871468	0.000651131	0.00895106	0.0082938	0.0745501	0.36804	0.452688	0.100636	1.88456	1.38738	0.0925273	1.621506	-7.04533	-7.3368	-4.71598	-4.79225	-2.59628	-0.999564	-0.792552	-2.29625	0.633695	0.327419	-2.38025	-6.73202	-5.43355	-4.55391	-5.86976	-4.04377	-2.40117	-1.89724	-0.117007	0.28407	-3.21358	-0.153694	0.00119212	0.00436755	0.010526	0.00282355	0.0175313	0.0906119	0.149981	0.889579	1.32853	0.0402123	0.857535	2.248023
320	-207.0605	-162.097	-44.96348	0.000598151	0.0010285	0.00146499	0.00550289	0.0199369	0.262879	0.16868	0.12673	0.701916	0.532085	0.133599	1.119992	-7.42167	-6.87966	-6.52591	-5.20248	-3.91518	-1.33606	-1.77975	-2.0657	-0.353941	-0.630953	-2.01291	-7.74242	-5.48316	-7.41125	-5.86438	-4.63957	-4.73402	-2.24062	-0.640541	-0.403434	-2.53631	-1.07435	0.000434022	0.00415615	0.000604414	0.00283877	0.00966189	0.00879103	0.106393	0.527007	0.668022	0.079158	0.34152	1.831112
330	-215.6899	-162.2821	-53.40779	0.0107947	0.00803339	0.00242309	0.0149761	0.0167357	0.189413	0.183086	0.184101	1.31773	0.607568	0.0131847	1.459746	-4.5287	-4.82415	-6.02271	-4.2013	-4.09021	-1.66383	-1.6978	-1.69227	0.275912	-0.498291	-4.3287	-6.68066	-8.19521	-5.84282	-9.54022	-5.06353	-5.40743	-2.49759	-0.657764	0.0077872	-2.77993	-0.977458	0.00125495	0.000275971	0.00290066	7.19011e-05	0.00632319	0.00448316	0.0822833	0.518008	1.00782	0.0620427	0.376266	2.231398
340	-216.3005	-162.7333	-53.56728	0.0315324	0.0291477	0.00322875	0.010248	0.0272217	0.150918	0.4388	0.135328	0.275464	0.210431	0.0257048	1.444818	-3.45674	-3.53538	-5.73566	-4.58067	-3.60374	-1.89102	-0.823711	-2.00005	-1.2893	-1.5586	-3.66108	-9.5382	-13.0391	-5.99359	-6.89025	-4.12114	-5.0292	-1.59231	-0.348222	-1.14266	-4.07609	-2.31856	7.20463e-05	2.17376e-06	0.00249468	0.00101766	0.0162259	0.00654404	0.203455	0.705942	0.31897	0.0169737	0.0984149	3.420981
350	-210.0194	-169.5673	-40.45205	0.0102461	0.0118128	0.0157651	0.0350309	0.0336215	0.177618	0.57614	0.27391	0.515181	0.48345	0.174521	0.8068126	-4.58086	-4.43857	-4.14996	-3.35152	-3.39259	-1.72812	-0.551404	-1.29496	-0.663237	-0.726808	-1.74571	-9.70358	-9.01419	-8.72955	-6.08701	-4.3599	-4.01879	-1.11897	-0.114146	-0.068105	-1.65834	-2.4904	6.10648e-05	0.000121671	0.000161735	0.00227219	0.0127796	0.0179747	0.326616	0.892128	0.934162	0.190455	0.082877	2.090417
360	-201.9027	-164.9241	-36.97867	0.0277377	0.0482102	0.0839893	0.0600023	0.149683	0.334863	0.221021	0.285616	0.642996	0.280532	0.143352	0.5289755	-3.58496	-3.03218	-2.47707	-2.81337	-1.89924	-1.09403	-1.5095	-1.25311	-0.441617	-1.27107	-1.94245	-9.27244	-8.05518	-8.0664	-7.38393	-3.51562	-1.72854	-0.984002	-0.342983	-0.354709	-1.78496	-1.82129	9.39793e-05	0.000317454	0.000313913	0.000621154	0.0297294	0.177544	0.373812	0.70965	0.701377	0.167804	0.161816	1.626319
370	-205.0234	-165.8912	-39.13226	0.0444953	0.0211807	0.0205961	0.0350356	0.0991768	0.281921	0.428073	0.532524	0.649817	0.314359	0.378622	0.7259909	-3.11237	-3.85466	-3.88266	-3.35139	-2.31085	-1.26613	-0.848462	-0.630127	-0.431064	-1.15722	-0.971216	-7.20414	-5.50826	-3.97524	-4.65572	-3.0755	-4.47172	-0.961744	0.0842252	-0.560317	-2.06156	-1.0012	0.000743499	0.00405314	0.0187748	0.00950705	0.0461666	0.0114276	0.382226	1.08787	0.571028	0.127256	0.367439	2.423424
380	-202.118	-168.2902	-33.82786	0.031679	0.0466983	0.0331956	0.12091	0.125953	0.139037	0.208904	0.399787	0.549978	0.59911	0.267559	0.5617808	-3.4521	-3.06405	-3.40534	-2.11271	-2.07185	-1.97301	-1.56588	-0.916824	-0.597877	-0.51231	-1.31842	-4.96818	-4.6209	-5.62155	-4.98447	-2.46921	-2.66278	-1.87472	-0.0892041	-0.677852	-2.64642	-1.01585	0.0069558	0.00984396	0.00361901	0.00684342	0.0846515	0.0697543	0.153398	0.914659	0.507707	0.0709047	0.362094	1.229476
390	-203.9803	-166.9651	-37.01517	0.0951851	0.0659219	0.0619018	0.113376	0.139585	0.134712	0.237328	0.472375	0.567355	0.872938	0.29892	1.384761	-2.35193	-2.71928	-2.78221	-2.17704	-1.96908	-2.00461	-1.43831	-0.749982	-0.56677	-0.13589	-1.20758	-5.58685	-5.51329	-5.62455	-3.71028	-3.04486	-1.72561	-1.67891	-0.0417536	-0.417402	-1.80933	-0.456686	0.00374679	0.00403281	0.00360818	0.0244705	0.047603	0.178064	0.186577	0.959106	0.658756	0.163764	0.633379	0.9645854
