Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]
1000	-221.3244	-167.6108	-53.71365	0.0836799	0.210188	0.0555766	0.00192963	0.000310299	0.00300318	0.00380457	0.00162881	0.00102177	0.00066276	0.000118151
1010	-218.8133	-170.3998	-48.41343	0.056016	0.244297	0.0462567	0.00162432	0.000775509	0.000993638	0.00120307	0.000546486	0.000336735	4.76159e-05	5.4578e-05
1020	-219.1504	-171.377	-47.77343	0.103524	0.241553	0.0300182	0.0725477	0.000182141	0.000853938	0.000460259	0.000194069	5.37329e-05	1.25968e-05	2.11903e-06
1030	-214.9249	-170.842	-44.08294	0.00776121	0.162615	0.0696491	0.0580078	0.0062197	0.0013894	0.000185736	0.000194662	7.04134e-05	1.14247e-05	1.61931e-06
1040	-184.5092	-171.6146	-12.89461	0.000857243	0.000881698	0.000821912	0.000834433	0.000885174	0.000849126	0.000754548	0.000760244	0.000725016	0.000678076	0.000684894
1050	-211.2378	-169.7844	-41.45338	0.038949	0.0154649	0.00374416	0.000758109	0.00126869	0.00106491	0.000733224	0.000554343	0.000570692	0.000264233	0.000107342
1060	-201.8062	-174.4477	-27.35848	0.00430383	0.00295376	0.00230501	0.00173931	0.00184623	0.00125891	0.00117138	0.000750394	0.00114204	0.00117659	0.00175085
1070	-217.0194	-174.2122	-42.80715	0.000306561	0.000653914	0.00200439	0.00562163	0.00435887	0.000484951	0.000236688	9.78429e-05	0.000116293	0.000517026	0.000272869
1080	-226.9873	-171.9782	-55.00903	0.00122356	0.00903204	0.00122902	0.128806	0.0070749	0.00457612	0.000211493	0.000232212	3.57786e-05	0.000721925	0.000160949
1090	-218.1131	-171.852	-46.2611	0.00123898	0.00977221	0.0739613	0.00606239	0.000623134	2.3234e-05	2.33019e-05	2.0606e-05	4.05112e-05	2.65616e-05	4.41519e-05
1100	-217.3513	-174.3663	-42.98501	0.00226503	0.00195382	0.00139095	0.000985349	0.00106518	0.000532359	0.000691575	0.000672642	0.000471901	0.000311032	0.000905695
1110	-185.9522	-172.1675	-13.78465	0.000800427	0.000904364	0.000885438	0.000795019	0.000804053	0.000840183	0.000852216	0.000868735	0.000924924	0.000862469	0.000842128
1120	-223.0631	-175.7097	-47.35344	8.15168e-05	0.000115584	0.000442793	0.000256365	4.30945e-05	0.00243929	0.00287756	0.0168667	0.00796821	0.00202645	0.00122703
1130	-224.9676	-172.8752	-52.09243	0.00091892	0.000849727	9.49165e-06	7.86088e-06	1.70246e-05	0.000296525	0.00222642	0.000246452	0.00020354	0.00229359	0.0020644
1140	-224.367	-174.2777	-50.0893	0.00302674	0.00227898	0.000359982	0.000853034	8.95041e-05	0.000477484	0.000177756	0.00460895	0.00200235	0.00176613	0.000931708
